num,"C(0,1)",cv,cl,f'c(Mpa),ρc(kg/m3),da(mm),"rd(0,1)",d(mm),b(mm),w(mm),tn(mm),dt(mm),Av(mm2),Al(mm2),Vf,lf,df,fv,fl,v
114,0,1.06,5.128666667,28.914,2406,16,1,300,120,400,0,150,50.4,307.72,0,0,0,757.1428571,600,3.22
115,0,7.29,5.128666667,28.914,2406,16,1,300,120,400,0,150,604.8,307.72,0,0,0,433.9285714,600,9.72
116,0,10.12,5.128666667,28.914,2406,16,1,300,120,400,0,150,802.8,307.72,0,0,0,453.8116592,600,9.25
117,0,15.17,5.128666667,28.914,2406,16,1,300,120,400,0,150,1206,307.72,0,0,0,452.8358209,600,10.11
118,0,9.72,5.128666667,19.908,2406,16,1,300,120,400,0,150,802.8,307.72,0,0,0,435.8744395,600,7.97
119,0,2.43,7.536,23.305,2400,16,1,300,120,400,0,150,201.6,452.16,0,0,0,433.9285714,600,5.36
120,0,4.86,7.536,23.305,2400,16,1,300,120,400,0,150,403.2,452.16,0,0,0,433.9285714,600,6.53
121,0,7.29,7.536,23.305,2400,16,1,300,120,400,0,150,604.8,452.16,0,0,0,433.9285714,600,6.78
122,0,9.72,7.536,23.305,2400,16,1,300,120,400,0,150,802.8,452.16,0,0,0,435.8744395,600,7.31
123,0,5.58,7.536,23.068,2400,16,1,300,120,400,0,150,396,452.16,0,0,0,507.2727273,600,6.92
124,0,10.12,7.536,23.068,2400,16,1,300,120,400,0,150,802.8,452.16,0,0,0,453.8116592,600,6.53
125,0,2.43,5.128666667,44.319,2438,16,1,300,120,400,0,150,201.6,307.72,0,0,0,433.9285714,600,6.72
126,0,4.86,5.128666667,44.319,2438,16,1,300,120,400,0,150,403.2,307.72,0,0,0,433.9285714,600,10.83
127,0,7.29,5.128666667,44.319,2438,16,1,300,120,400,0,150,604.8,307.72,0,0,0,433.9285714,600,12.56
128,0,9.72,5.128666667,44.319,2438,16,1,300,120,400,0,150,802.8,307.72,0,0,0,435.8744395,600,14.19
129,0,2.43,5.128666667,15.721,2323,16,1,300,120,400,0,150,201.6,307.72,0,0,0,433.9285714,600,4.65
130,0,4.86,5.128666667,15.721,2323,16,1,300,120,400,0,150,403.2,307.72,0,0,0,433.9285714,600,6.04
131,0,7.29,5.128666667,15.721,2323,16,1,300,120,400,0,150,604.8,307.72,0,0,0,433.9285714,600,6.55
132,0,9.72,5.128666667,15.721,2323,16,1,300,120,400,0,150,802.8,307.72,0,0,0,435.8744395,600,6.29
133,0,2.43,5.128666667,30.178,2380,32,1,300,120,400,0,150,201.6,307.72,0,0,0,433.9285714,600,6.93
134,0,4.86,5.128666667,30.178,2380,32,1,300,120,400,0,150,403.2,307.72,0,0,0,433.9285714,600,8.69
135,0,7.29,5.128666667,30.178,2380,32,1,300,120,400,0,150,604.8,307.72,0,0,0,433.9285714,600,9.65
136,0,9.72,5.128666667,30.178,2380,32,1,300,120,400,0,150,802.8,307.72,0,0,0,435.8744395,600,9.94
137,0,2.43,5.128666667,27.176,1744,8,1,300,120,400,0,150,201.6,307.72,0,0,0,433.9285714,600,6.52
138,0,4.86,5.128666667,27.176,1744,8,1,300,120,400,0,150,403.2,307.72,0,0,0,433.9285714,600,8.62
139,0,7.29,5.128666667,27.176,1744,8,1,300,120,400,0,150,604.8,307.72,0,0,0,433.9285714,600,9.79
140,0,9.72,5.128666667,27.176,1744,8,1,300,120,400,0,150,802.8,307.72,0,0,0,435.8744395,600,10.36
141,0,2.43,5.128666667,27.176,1744,8,1,300,120,400,0,150,201.6,307.72,0,0,0,433.9285714,600,4.09
142,0,9.72,5.128666667,27.176,1744,8,1,300,120,400,0,150,802.8,307.72,0,0,0,435.8744395,600,8.87
143,0,2.43,5.128666667,28.519,2406,16,0,300,120,400,0,150,201.6,307.72,0,0,0,433.9285714,600,5.95
144,0,4.86,5.128666667,28.519,2406,16,0,300,120,400,0,150,403.2,307.72,0,0,0,433.9285714,600,8.15
145,0,7.29,5.128666667,28.519,2406,16,0,300,120,400,0,150,604.8,307.72,0,0,0,433.9285714,600,8.81
146,0,9.72,5.128666667,28.519,2406,16,0,300,120,400,0,150,802.8,307.72,0,0,0,435.8744395,600,8.94
147,1,1.756574402,30.15381438,36.96279228,2300,19,1,305,127,305,0,152.4,141.9,1946.68,0,0,0,479.4990095,600,6.653440505
148,0,1.756574402,30.15381438,36.96279228,2300,19,1,305,127,305,0,152.4,141.9,1946.68,0,0,0,479.4990095,600,4.019643331
149,1,3.513148804,30.15381438,36.96279228,2300,19,1,305,127,305,0,152.4,283.8,1946.68,0,0,0,479.4990095,600,9.204500595
150,0,3.513148804,30.15381438,36.96279228,2300,19,1,305,127,305,0,152.4,283.8,1946.68,0,0,0,479.4990095,600,6.398334496
151,1,5.269723205,30.15381438,36.96279228,2300,19,1,305,127,305,0,152.4,425.7,1946.68,0,0,0,479.4990095,600,9.866397267
152,0,5.269723205,30.15381438,36.96279228,2300,19,1,305,127,305,0,152.4,425.7,1946.68,0,0,0,479.4990095,600,8.177181802
153,1,2.094112228,30.15381438,64.44529368,2450,19,1,305,127,305,0,152.4,141.9,1946.68,0,0,0,571.6380349,600,10.05945046
154,0,2.094112228,30.15381438,64.44529368,2450,19,1,305,127,305,0,152.4,141.9,1946.68,0,0,0,571.6380349,600,4.791856115
155,1,4.195112983,30.15381438,68.65109545,2450,19,1,305,127,305,0,152.4,283.8,1946.68,0,0,0,572.578229,600,13.57577653
156,0,4.195112983,30.15381438,68.65109545,2450,19,1,305,127,305,0,152.4,283.8,1946.68,0,0,0,572.578229,600,5.943280534
157,1,6.289225211,30.15381438,73.71874184,2450,19,1,305,127,305,0,152.4,425.7,1946.68,0,0,0,572.264831,600,15.9062044
158,0,6.289225211,30.15381438,73.71874184,2450,19,1,305,127,305,0,152.4,425.7,1946.68,0,0,0,572.264831,600,8.218550344
159,1,8.383337439,30.15381438,70.73331206,2450,19,1,305,127,305,0,152.4,567.6,1946.68,0,0,0,572.108132,600,17.13347115
160,0,8.383337439,30.15381438,70.73331206,2450,19,1,305,127,305,0,152.4,567.6,1946.68,0,0,0,572.108132,600,7.211915822
161,1,2.094112228,30.15381438,65.60361286,2450,19,1,305,127,305,0,152.4,141.9,1946.68,0,0,0,571.6380349,600,11.50045468
162,1,2.094112228,30.15381438,76.64901357,2450,19,1,305,127,305,0,152.4,141.9,1946.68,0,0,0,571.6380349,600,10.55587297
163,0,2.094112228,30.15381438,65.60361286,2450,19,1,305,127,305,0,152.4,141.9,1946.68,0,0,0,571.6380349,600,2.96474551
164,0,2.094112228,30.15381438,76.64901357,2450,19,1,305,127,305,0,152.4,141.9,1946.68,0,0,0,571.6380349,600,3.4473785
165,1,4.195112983,30.15381438,83.82645561,2450,19,1,305,127,305,0,152.4,283.8,1946.68,0,0,0,572.578229,600,15.01678075
166,1,4.195112983,30.15381438,81.18576368,2450,19,1,305,127,305,0,152.4,283.8,1946.68,0,0,0,572.578229,600,14.25835748
167,0,4.195112983,30.15381438,83.82645561,2450,19,1,305,127,305,0,152.4,283.8,1946.68,0,0,0,572.578229,600,5.529595114
168,0,4.195112983,30.15381438,81.18576368,2450,19,1,305,127,305,0,152.4,283.8,1946.68,0,0,0,572.578229,600,5.832964422
169,1,6.289225211,30.15381438,87.63236147,2450,19,1,305,127,305,0,152.4,425.7,1946.68,0,0,0,572.264831,600,16.6439434
170,1,6.289225211,30.15381438,78.13828108,2450,19,1,305,127,305,0,152.4,425.7,1946.68,0,0,0,572.264831,600,16.99557601
171,0,6.289225211,30.15381438,87.63236147,2450,19,1,305,127,305,0,152.4,425.7,1946.68,0,0,0,572.264831,600,7.432548046
172,0,6.289225211,30.15381438,78.13828108,2450,19,1,305,127,305,0,152.4,425.7,1946.68,0,0,0,572.264831,600,7.280863392
173,1,8.383337439,30.15381438,85.69493475,2450,19,1,305,127,305,0,152.4,567.6,1946.68,0,0,0,572.108132,600,17.93326296
174,1,8.383337439,30.15381438,84.50214179,2450,19,1,305,127,305,0,152.4,567.6,1946.68,0,0,0,572.108132,600,18.38831692
175,0,8.383337439,30.15381438,85.69493475,2450,19,1,305,127,305,0,152.4,567.6,1946.68,0,0,0,572.108132,600,8.521919652
176,0,8.383337439,30.15381438,84.50214179,2450,19,1,305,127,305,0,152.4,567.6,1946.68,0,0,0,572.108132,600,8.763236147
177,1,2.094112228,30.15381438,103.0628276,2450,19,1,305,127,305,0,152.4,141.9,1946.68,0,0,0,571.6380349,600,10.91440033
178,0,2.094112228,30.15381438,97.18159992,2450,19,1,305,127,305,0,152.4,141.9,1946.68,0,0,0,571.6380349,600,2.861324155
179,1,4.195112983,30.15381438,94.6994874,2450,19,1,305,127,305,0,152.4,283.8,1946.68,0,0,0,572.578229,600,12.46572066
180,0,4.195112983,30.15381438,92.44490186,2450,19,1,305,127,305,0,152.4,283.8,1946.68,0,0,0,572.578229,600,4.61948719
181,1,6.289225211,30.15381438,90.90737105,2450,19,1,305,127,305,0,152.4,425.7,1946.68,0,0,0,572.264831,600,16.80252281
182,0,6.289225211,30.15381438,89.01131287,2450,19,1,305,127,305,0,152.4,425.7,1946.68,0,0,0,572.264831,600,6.377650225
183,1,8.383337439,30.15381438,94.92011962,2450,19,1,305,127,305,0,152.4,567.6,1946.68,0,0,0,572.108132,600,17.9263682
184,0,8.383337439,30.15381438,95.70612192,2450,19,1,305,127,305,0,152.4,567.6,1946.68,0,0,0,572.108132,600,8.418498297
185,0,4.71,27.46453333,42.13836478,2300,20,1,300,150,400,15,225,399.9056604,2059.84,0,0,0,530,600,8.18
186,0,9.42,27.46453333,42.13836478,2300,20,1,300,150,400,15,225,799.8113208,2059.84,0,0,0,530,600,10.17
187,0,14.13,27.46453333,42.13836478,2300,20,1,300,150,400,15,225,1199.716981,2059.84,0,0,0,530,600,12.92
188,0,4.71,27.46453333,72.32704403,2450,20,1,300,150,400,15,225,399.9056604,2059.84,0,0,0,530,600,7.5
189,0,7.07,27.46453333,72.32704403,2450,20,1,300,150,400,15,225,600.2830189,2059.84,0,0,0,530,600,11.5
190,0,9.42,27.46453333,72.32704403,2450,20,1,300,150,400,15,225,799.8113208,2059.84,0,0,0,530,600,14.03
191,0,4.71,27.46453333,91.19496855,2450,20,1,300,150,400,15,225,399.9056604,2059.84,0,0,0,530,600,7.78
192,0,7.07,27.46453333,91.19496855,2450,20,1,300,150,400,15,225,600.2830189,2059.84,0,0,0,530,600,12.36
193,0,9.42,27.46453333,91.19496855,2450,20,1,300,150,400,15,225,799.8113208,2059.84,0,0,0,530,600,14.17
194,0,2.67,27.46453333,76.72955975,2450,20,1,300,150,400,15,225,400.5,2059.84,0,0,0,300,600,6.73
195,0,1.37,27.46453333,88.99371069,2450,20,1,300,150,400,15,225,205.5,2059.84,0,0,0,300,600,5.17
196,0,2.67,27.46453333,88.99371069,2450,20,1,300,150,400,15,225,400.5,2059.84,0,0,0,300,600,7.32
197,0,3.36,27.46453333,88.99371069,2450,20,1,300,150,400,15,225,504,2059.84,0,0,0,300,600,8.21
198,0,4.02,27.46453333,88.99371069,2450,20,1,300,150,400,15,225,603,2059.84,0,0,0,300,600,9.17
199,0,2.67,27.46453333,99.79035639,2450,20,1,300,150,400,15,225,400.5,2059.84,0,0,0,300,600,7.97
200,0,1.34,27.46453333,111.5303983,2450,20,1,300,150,400,15,225,201,2059.84,0,0,0,300,600,6.01
201,0,2.67,27.46453333,111.5303983,2450,20,1,300,150,400,15,225,400.5,2059.84,0,0,0,300,600,8.43
202,0,3.36,27.46453333,111.5303983,2450,20,1,300,150,400,15,225,504,2059.84,0,0,0,300,600,9.24
203,0,4.02,27.46453333,111.5303983,2450,20,1,300,150,400,15,225,603,2059.84,0,0,0,300,600,9.96
204,1,0,0,31.2,1530,4,0,200,120,380,0,280,0,0,0,0,0,0,0,1.766666667
